Kd_id,Kd_Cond,Kd_Age,Brand,Manufacture,Dosage in code,Ingredients,Caution,Side Effect,Contra Indication
11,"1, 2, 3",11,zenmyo syrup,Asgen,2,"Maouekisu 510mg Licorice extract 250mg Cinnamic flow extract 1mL Ginger root extract flow 1mL Herba Asari flow extract 1mL Gomishi flow extract 1mL Hange extract 80mg Noscapine hydrochloride hydrate 38mg Potassium guaiacol sulfonic acid 240mg Chlorpheniramine maleate 8.2mg Anhydrous caffeine 72mg Additives: benzoic acid Na, parabens, polyoxyethylene hydrogenated castor oil, polyoxye","Not to be taken less than three months, If this is unavoidable, it can be taken up to one day six times the dose every four hours. In use, to take from Shake well",Unknown,"The infants of less than 2 years of age, giving priority to be subjected to medical aid, to be taken only if unavoidable"
12,"1, 2, 3",12,zenmyo syrup,Asgen,2,"Maouekisu 510mg Licorice extract 250mg Cinnamic flow extract 1mL Ginger root extract flow 1mL Herba Asari flow extract 1mL Gomishi flow extract 1mL Hange extract 80mg Noscapine hydrochloride hydrate 38mg Potassium guaiacol sulfonic acid 240mg Chlorpheniramine maleate 8.2mg Anhydrous caffeine 72mg Additives: benzoic acid Na, parabens, polyoxyethylene hydrogenated castor oil, polyoxye","Not to be taken less than three months, If this is unavoidable, it can be taken up to one day six times the dose every four hours. In use, to take from Shake well",Unknown,"The infants of less than 2 years of age, giving priority to be subjected to medical aid, to be taken only if unavoidable"
13,"1, 2, 3",13,zenmyo syrup,Asgen,2,"Maouekisu 510mg Licorice extract 250mg Cinnamic flow extract 1mL Ginger root extract flow 1mL Herba Asari flow extract 1mL Gomishi flow extract 1mL Hange extract 80mg Noscapine hydrochloride hydrate 38mg Potassium guaiacol sulfonic acid 240mg Chlorpheniramine maleate 8.2mg Anhydrous caffeine 72mg Additives: benzoic acid Na, parabens, polyoxyethylene hydrogenated castor oil, polyoxye","Not to be taken less than three months, If this is unavoidable, it can be taken up to one day six times the dose every four hours. In use, to take from Shake well",Unknown,"The infants of less than 2 years of age, giving priority to be subjected to medical aid, to be taken only if unavoidable"
14,"1, 2, 3",14,zenmyo syrup,Asgen,2,"Maouekisu 510mg Licorice extract 250mg Cinnamic flow extract 1mL Ginger root extract flow 1mL Herba Asari flow extract 1mL Gomishi flow extract 1mL Hange extract 80mg Noscapine hydrochloride hydrate 38mg Potassium guaiacol sulfonic acid 240mg Chlorpheniramine maleate 8.2mg Anhydrous caffeine 72mg Additives: benzoic acid Na, parabens, polyoxyethylene hydrogenated castor oil, polyoxye","Not to be taken less than three months, If this is unavoidable, it can be taken up to one day six times the dose every four hours. In use, to take from Shake well",Unknown,"The infants of less than 2 years of age, giving priority to be subjected to medical aid, to be taken only if unavoidable"
15,"1, 2, 3",15,zenmyo syrup,Asgen,3,"Maouekisu 510mg Licorice extract 250mg Cinnamic flow extract 1mL Ginger root extract flow 1mL Herba Asari flow extract 1mL Gomishi flow extract 1mL Hange extract 80mg Noscapine hydrochloride hydrate 38mg Potassium guaiacol sulfonic acid 240mg Chlorpheniramine maleate 8.2mg Anhydrous caffeine 72mg Additives: benzoic acid Na, parabens, polyoxyethylene hydrogenated castor oil, polyoxye","Not to be taken less than three months, If this is unavoidable, it can be taken up to one day six times the dose every four hours. In use, to take from Shake well",Unknown,"The infants of less than 2 years of age, giving priority to be subjected to medical aid, to be taken only if unavoidable"
16,"1, 2, 3",16,zenmyo syrup,Asgen,3,"Maouekisu 510mg Licorice extract 250mg Cinnamic flow extract 1mL Ginger root extract flow 1mL Herba Asari flow extract 1mL Gomishi flow extract 1mL Hange extract 80mg Noscapine hydrochloride hydrate 38mg Potassium guaiacol sulfonic acid 240mg Chlorpheniramine maleate 8.2mg Anhydrous caffeine 72mg Additives: benzoic acid Na, parabens, polyoxyethylene hydrogenated castor oil, polyoxye","Not to be taken less than three months, If this is unavoidable, it can be taken up to one day six times the dose every four hours. In use, to take from Shake well",Unknown,"The infants of less than 2 years of age, giving priority to be subjected to medical aid, to be taken only if unavoidable"
17,"1, 2, 3",17,zenmyo syrup,Asgen,3,"Maouekisu 510mg Licorice extract 250mg Cinnamic flow extract 1mL Ginger root extract flow 1mL Herba Asari flow extract 1mL Gomishi flow extract 1mL Hange extract 80mg Noscapine hydrochloride hydrate 38mg Potassium guaiacol sulfonic acid 240mg Chlorpheniramine maleate 8.2mg Anhydrous caffeine 72mg Additives: benzoic acid Na, parabens, polyoxyethylene hydrogenated castor oil, polyoxye","Not to be taken less than three months, If this is unavoidable, it can be taken up to one day six times the dose every four hours. In use, to take from Shake well",Unknown,"The infants of less than 2 years of age, giving priority to be subjected to medical aid, to be taken only if unavoidable"
18,"1, 2, 3",18,zenmyo syrup,Asgen,4,"Maouekisu 510mg Licorice extract 250mg Cinnamic flow extract 1mL Ginger root extract flow 1mL Herba Asari flow extract 1mL Gomishi flow extract 1mL Hange extract 80mg Noscapine hydrochloride hydrate 38mg Potassium guaiacol sulfonic acid 240mg Chlorpheniramine maleate 8.2mg Anhydrous caffeine 72mg Additives: benzoic acid Na, parabens, polyoxyethylene hydrogenated castor oil, polyoxye","Not to be taken less than three months, If this is unavoidable, it can be taken up to one day six times the dose every four hours. In use, to take from Shake well",Unknown,"The infants of less than 2 years of age, giving priority to be subjected to medical aid, to be taken only if unavoidable"
19,"1, 2, 3",19,zenmyo syrup,Asgen,4,"Maouekisu 510mg Licorice extract 250mg Cinnamic flow extract 1mL Ginger root extract flow 1mL Herba Asari flow extract 1mL Gomishi flow extract 1mL Hange extract 80mg Noscapine hydrochloride hydrate 38mg Potassium guaiacol sulfonic acid 240mg Chlorpheniramine maleate 8.2mg Anhydrous caffeine 72mg Additives: benzoic acid Na, parabens, polyoxyethylene hydrogenated castor oil, polyoxye","Not to be taken less than three months, If this is unavoidable, it can be taken up to one day six times the dose every four hours. In use, to take from Shake well",Unknown,"The infants of less than 2 years of age, giving priority to be subjected to medical aid, to be taken only if unavoidable"
20,"1, 2, 3",20,zenmyo syrup,Asgen,4,"Maouekisu 510mg Licorice extract 250mg Cinnamic flow extract 1mL Ginger root extract flow 1mL Herba Asari flow extract 1mL Gomishi flow extract 1mL Hange extract 80mg Noscapine hydrochloride hydrate 38mg Potassium guaiacol sulfonic acid 240mg Chlorpheniramine maleate 8.2mg Anhydrous caffeine 72mg Additives: benzoic acid Na, parabens, polyoxyethylene hydrogenated castor oil, polyoxye","Not to be taken less than three months, If this is unavoidable, it can be taken up to one day six times the dose every four hours. In use, to take from Shake well",Unknown,"The infants of less than 2 years of age, giving priority to be subjected to medical aid, to be taken only if unavoidable"
21,"1, 2, 3",21,zenmyo syrup,Asgen,5,"Maouekisu 510mg Licorice extract 250mg Cinnamic flow extract 1mL Ginger root extract flow 1mL Herba Asari flow extract 1mL Gomishi flow extract 1mL Hange extract 80mg Noscapine hydrochloride hydrate 38mg Potassium guaiacol sulfonic acid 240mg Chlorpheniramine maleate 8.2mg Anhydrous caffeine 72mg Additives: benzoic acid Na, parabens, polyoxyethylene hydrogenated castor oil, polyoxye","Not to be taken less than three months, If this is unavoidable, it can be taken up to one day six times the dose every four hours. In use, to take from Shake well",Unknown,"The infants of less than 2 years of age, giving priority to be subjected to medical aid, to be taken only if unavoidable"
22,"1, 2, 3",22,zenmyo syrup,Asgen,5,"Maouekisu 510mg Licorice extract 250mg Cinnamic flow extract 1mL Ginger root extract flow 1mL Herba Asari flow extract 1mL Gomishi flow extract 1mL Hange extract 80mg Noscapine hydrochloride hydrate 38mg Potassium guaiacol sulfonic acid 240mg Chlorpheniramine maleate 8.2mg Anhydrous caffeine 72mg Additives: benzoic acid Na, parabens, polyoxyethylene hydrogenated castor oil, polyoxye","Not to be taken less than three months, If this is unavoidable, it can be taken up to one day six times the dose every four hours. In use, to take from Shake well",Unknown,"The infants of less than 2 years of age, giving priority to be subjected to medical aid, to be taken only if unavoidable"
23,"1, 2, 3",23,zenmyo syrup,Asgen,5,"Maouekisu 510mg Licorice extract 250mg Cinnamic flow extract 1mL Ginger root extract flow 1mL Herba Asari flow extract 1mL Gomishi flow extract 1mL Hange extract 80mg Noscapine hydrochloride hydrate 38mg Potassium guaiacol sulfonic acid 240mg Chlorpheniramine maleate 8.2mg Anhydrous caffeine 72mg Additives: benzoic acid Na, parabens, polyoxyethylene hydrogenated castor oil, polyoxye","Not to be taken less than three months, If this is unavoidable, it can be taken up to one day six times the dose every four hours. In use, to take from Shake well",Unknown,"The infants of less than 2 years of age, giving priority to be subjected to medical aid, to be taken only if unavoidable"
24,"1, 2, 3",24,zenmyo syrup,Asgen,5,"Maouekisu 510mg Licorice extract 250mg Cinnamic flow extract 1mL Ginger root extract flow 1mL Herba Asari flow extract 1mL Gomishi flow extract 1mL Hange extract 80mg Noscapine hydrochloride hydrate 38mg Potassium guaiacol sulfonic acid 240mg Chlorpheniramine maleate 8.2mg Anhydrous caffeine 72mg Additives: benzoic acid Na, parabens, polyoxyethylene hydrogenated castor oil, polyoxye","Not to be taken less than three months, If this is unavoidable, it can be taken up to one day six times the dose every four hours. In use, to take from Shake well",Unknown,"The infants of less than 2 years of age, giving priority to be subjected to medical aid, to be taken only if unavoidable"
25,"2, 3",1,Me Utsu children Sekido syrup,Uzukyumeigan,7,dextromethorphan hydrobromide hydrate : 30mg dl- methyl ephedrine hydrochloride: 37.5 Guaifenesin: 100mg d- chlorpheniramine maleate:3mg Nandina Jitsu extract: 109mg Bellflower extract: 40mg,"Do not use any of the following medicines while taking this drug Other cold medicines, antipyretic analgesics, sedatives, antitussive expectorants, or oral medicines containing antihistamines, Do not drive a vehicle or operate machinery after taking this medicine, Do not drink alcohol before or after taking this medicine, Please do not use it for a long","Skin Rash, redness, itching, Gastrointestinal nausea, vomiting, loss of appetite, Neuropsychiatric system Dizziness Respiratory system Shortness of breath, difficulty breathing Urology Difficulty urinating Others Excessive drop in body temperature","Persons who have had allergic symptoms due to this drug or its ingredients, People who have had asthma after taking this drug or other cold medicines or antipyretic analgesics"
26,"2, 3",2,Me Utsu children Sekido syrup,Uzukyumeigan,7,dextromethorphan hydrobromide hydrate : 30mg dl- methyl ephedrine hydrochloride: 37.5 Guaifenesin: 100mg d- chlorpheniramine maleate:3mg Nandina Jitsu extract: 109mg Bellflower extract: 40mg,"Do not use any of the following medicines while taking this drug Other cold medicines, antipyretic analgesics, sedatives, antitussive expectorants, or oral medicines containing antihistamines, Do not drive a vehicle or operate machinery after taking this medicine, Do not drink alcohol before or after taking this medicine, Please do not use it for a long","Skin Rash, redness, itching, Gastrointestinal nausea, vomiting, loss of appetite, Neuropsychiatric system Dizziness Respiratory system Shortness of breath, difficulty breathing Urology Difficulty urinating Others Excessive drop in body temperature","Persons who have had allergic symptoms due to this drug or its ingredients, People who have had asthma after taking this drug or other cold medicines or antipyretic analgesics"
27,"2, 3",3,Me Utsu children Sekido syrup,Uzukyumeigan,7,dextromethorphan hydrobromide hydrate : 30mg dl- methyl ephedrine hydrochloride: 37.5 Guaifenesin: 100mg d- chlorpheniramine maleate:3mg Nandina Jitsu extract: 109mg Bellflower extract: 40mg,"Do not use any of the following medicines while taking this drug Other cold medicines, antipyretic analgesics, sedatives, antitussive expectorants, or oral medicines containing antihistamines, Do not drive a vehicle or operate machinery after taking this medicine, Do not drink alcohol before or after taking this medicine, Please do not use it for a long","Skin Rash, redness, itching, Gastrointestinal nausea, vomiting, loss of appetite, Neuropsychiatric system Dizziness Respiratory system Shortness of breath, difficulty breathing Urology Difficulty urinating Others Excessive drop in body temperature","Persons who have had allergic symptoms due to this drug or its ingredients, People who have had asthma after taking this drug or other cold medicines or antipyretic analgesics"
28,"2, 3",4,Me Utsu children Sekido syrup,Uzukyumeigan,7,dextromethorphan hydrobromide hydrate : 30mg dl- methyl ephedrine hydrochloride: 37.5 Guaifenesin: 100mg d- chlorpheniramine maleate:3mg Nandina Jitsu extract: 109mg Bellflower extract: 40mg,"Do not use any of the following medicines while taking this drug Other cold medicines, antipyretic analgesics, sedatives, antitussive expectorants, or oral medicines containing antihistamines, Do not drive a vehicle or operate machinery after taking this medicine, Do not drink alcohol before or after taking this medicine, Please do not use it for a long","Skin Rash, redness, itching, Gastrointestinal nausea, vomiting, loss of appetite, Neuropsychiatric system Dizziness Respiratory system Shortness of breath, difficulty breathing Urology Difficulty urinating Others Excessive drop in body temperature","Persons who have had allergic symptoms due to this drug or its ingredients, People who have had asthma after taking this drug or other cold medicines or antipyretic analgesics"
29,"2, 3",5,Me Utsu children Sekido syrup,Uzukyumeigan,7,dextromethorphan hydrobromide hydrate : 30mg dl- methyl ephedrine hydrochloride: 37.5 Guaifenesin: 100mg d- chlorpheniramine maleate:3mg Nandina Jitsu extract: 109mg Bellflower extract: 40mg,"Do not use any of the following medicines while taking this drug Other cold medicines, antipyretic analgesics, sedatives, antitussive expectorants, or oral medicines containing antihistamines, Do not drive a vehicle or operate machinery after taking this medicine, Do not drink alcohol before or after taking this medicine, Please do not use it for a long","Skin Rash, redness, itching, Gastrointestinal nausea, vomiting, loss of appetite, Neuropsychiatric system Dizziness Respiratory system Shortness of breath, difficulty breathing Urology Difficulty urinating Others Excessive drop in body temperature","Persons who have had allergic symptoms due to this drug or its ingredients, People who have had asthma after taking this drug or other cold medicines or antipyretic analgesics"
30,"2, 3",6,Me Utsu children Sekido syrup,Uzukyumeigan,7,dextromethorphan hydrobromide hydrate : 30mg dl- methyl ephedrine hydrochloride: 37.5 Guaifenesin: 100mg d- chlorpheniramine maleate:3mg Nandina Jitsu extract: 109mg Bellflower extract: 40mg,"Do not use any of the following medicines while taking this drug Other cold medicines, antipyretic analgesics, sedatives, antitussive expectorants, or oral medicines containing antihistamines, Do not drive a vehicle or operate machinery after taking this medicine, Do not drink alcohol before or after taking this medicine, Please do not use it for a long","Skin Rash, redness, itching, Gastrointestinal nausea, vomiting, loss of appetite, Neuropsychiatric system Dizziness Respiratory system Shortness of breath, difficulty breathing Urology Difficulty urinating Others Excessive drop in body temperature","Persons who have had allergic symptoms due to this drug or its ingredients, People who have had asthma after taking this drug or other cold medicines or antipyretic analgesics"
31,"2, 3",7,Me Utsu children Sekido syrup,Uzukyumeigan,7,dextromethorphan hydrobromide hydrate : 30mg dl- methyl ephedrine hydrochloride: 37.5 Guaifenesin: 100mg d- chlorpheniramine maleate:3mg Nandina Jitsu extract: 109mg Bellflower extract: 40mg,"Do not use any of the following medicines while taking this drug Other cold medicines, antipyretic analgesics, sedatives, antitussive expectorants, or oral medicines containing antihistamines, Do not drive a vehicle or operate machinery after taking this medicine, Do not drink alcohol before or after taking this medicine, Please do not use it for a long","Skin Rash, redness, itching, Gastrointestinal nausea, vomiting, loss of appetite, Neuropsychiatric system Dizziness Respiratory system Shortness of breath, difficulty breathing Urology Difficulty urinating Others Excessive drop in body temperature","Persons who have had allergic symptoms due to this drug or its ingredients, People who have had asthma after taking this drug or other cold medicines or antipyretic analgesics"
32,"2, 3",8,Me Utsu children Sekido syrup,Uzukyumeigan,7,dextromethorphan hydrobromide hydrate : 30mg dl- methyl ephedrine hydrochloride: 37.5 Guaifenesin: 100mg d- chlorpheniramine maleate:3mg Nandina Jitsu extract: 109mg Bellflower extract: 40mg,"Do not use any of the following medicines while taking this drug Other cold medicines, antipyretic analgesics, sedatives, antitussive expectorants, or oral medicines containing antihistamines, Do not drive a vehicle or operate machinery after taking this medicine, Do not drink alcohol before or after taking this medicine, Please do not use it for a long","Skin Rash, redness, itching, Gastrointestinal nausea, vomiting, loss of appetite, Neuropsychiatric system Dizziness Respiratory system Shortness of breath, difficulty breathing Urology Difficulty urinating Others Excessive drop in body temperature","Persons who have had allergic symptoms due to this drug or its ingredients, People who have had asthma after taking this drug or other cold medicines or antipyretic analgesics"
33,"2, 3",9,Me Utsu children Sekido syrup,Uzukyumeigan,7,dextromethorphan hydrobromide hydrate : 30mg dl- methyl ephedrine hydrochloride: 37.5 Guaifenesin: 100mg d- chlorpheniramine maleate:3mg Nandina Jitsu extract: 109mg Bellflower extract: 40mg,"Do not use any of the following medicines while taking this drug Other cold medicines, antipyretic analgesics, sedatives, antitussive expectorants, or oral medicines containing antihistamines, Do not drive a vehicle or operate machinery after taking this medicine, Do not drink alcohol before or after taking this medicine, Please do not use it for a long","Skin Rash, redness, itching, Gastrointestinal nausea, vomiting, loss of appetite, Neuropsychiatric system Dizziness Respiratory system Shortness of breath, difficulty breathing Urology Difficulty urinating Others Excessive drop in body temperature","Persons who have had allergic symptoms due to this drug or its ingredients, People who have had asthma after taking this drug or other cold medicines or antipyretic analgesics"
34,"2, 3",10,Me Utsu children Sekido syrup,Uzukyumeigan,10,dextromethorphan hydrobromide hydrate : 30mg dl- methyl ephedrine hydrochloride: 37.5 Guaifenesin: 100mg d- chlorpheniramine maleate:3mg Nandina Jitsu extract: 109mg Bellflower extract: 40mg,"Do not use any of the following medicines while taking this drug Other cold medicines, antipyretic analgesics, sedatives, antitussive expectorants, or oral medicines containing antihistamines, Do not drive a vehicle or operate machinery after taking this medicine, Do not drink alcohol before or after taking this medicine, Please do not use it for a long","Skin Rash, redness, itching, Gastrointestinal nausea, vomiting, loss of appetite, Neuropsychiatric system Dizziness Respiratory system Shortness of breath, difficulty breathing Urology Difficulty urinating Others Excessive drop in body temperature","Persons who have had allergic symptoms due to this drug or its ingredients, People who have had asthma after taking this drug or other cold medicines or antipyretic analgesics"
35,"2, 3",11,Me Utsu children Sekido syrup,Uzukyumeigan,10,dextromethorphan hydrobromide hydrate : 30mg dl- methyl ephedrine hydrochloride: 37.5 Guaifenesin: 100mg d- chlorpheniramine maleate:3mg Nandina Jitsu extract: 109mg Bellflower extract: 40mg,"Do not use any of the following medicines while taking this drug Other cold medicines, antipyretic analgesics, sedatives, antitussive expectorants, or oral medicines containing antihistamines, Do not drive a vehicle or operate machinery after taking this medicine, Do not drink alcohol before or after taking this medicine, Please do not use it for a long","Skin Rash, redness, itching, Gastrointestinal nausea, vomiting, loss of appetite, Neuropsychiatric system Dizziness Respiratory system Shortness of breath, difficulty breathing Urology Difficulty urinating Others Excessive drop in body temperature","Persons who have had allergic symptoms due to this drug or its ingredients, People who have had asthma after taking this drug or other cold medicines or antipyretic analgesics"
36,"2, 3",12,Me Utsu children Sekido syrup,Uzukyumeigan,10,dextromethorphan hydrobromide hydrate : 30mg dl- methyl ephedrine hydrochloride: 37.5 Guaifenesin: 100mg d- chlorpheniramine maleate:3mg Nandina Jitsu extract: 109mg Bellflower extract: 40mg,"Do not use any of the following medicines while taking this drug Other cold medicines, antipyretic analgesics, sedatives, antitussive expectorants, or oral medicines containing antihistamines, Do not drive a vehicle or operate machinery after taking this medicine, Do not drink alcohol before or after taking this medicine, Please do not use it for a long","Skin Rash, redness, itching, Gastrointestinal nausea, vomiting, loss of appetite, Neuropsychiatric system Dizziness Respiratory system Shortness of breath, difficulty breathing Urology Difficulty urinating Others Excessive drop in body temperature","Persons who have had allergic symptoms due to this drug or its ingredients, People who have had asthma after taking this drug or other cold medicines or antipyretic analgesics"
37,"2, 3",13,Me Utsu children Sekido syrup,Uzukyumeigan,11,dextromethorphan hydrobromide hydrate : 30mg dl- methyl ephedrine hydrochloride: 37.5 Guaifenesin: 100mg d- chlorpheniramine maleate:3mg Nandina Jitsu extract: 109mg Bellflower extract: 40mg,"Do not use any of the following medicines while taking this drug Other cold medicines, antipyretic analgesics, sedatives, antitussive expectorants, or oral medicines containing antihistamines, Do not drive a vehicle or operate machinery after taking this medicine, Do not drink alcohol before or after taking this medicine, Please do not use it for a long","Skin Rash, redness, itching, Gastrointestinal nausea, vomiting, loss of appetite, Neuropsychiatric system Dizziness Respiratory system Shortness of breath, difficulty breathing Urology Difficulty urinating Others Excessive drop in body temperature","Persons who have had allergic symptoms due to this drug or its ingredients, People who have had asthma after taking this drug or other cold medicines or antipyretic analgesics"
38,"2, 3",14,Me Utsu children Sekido syrup,Uzukyumeigan,11,dextromethorphan hydrobromide hydrate : 30mg dl- methyl ephedrine hydrochloride: 37.5 Guaifenesin: 100mg d- chlorpheniramine maleate:3mg Nandina Jitsu extract: 109mg Bellflower extract: 40mg,"Do not use any of the following medicines while taking this drug Other cold medicines, antipyretic analgesics, sedatives, antitussive expectorants, or oral medicines containing antihistamines, Do not drive a vehicle or operate machinery after taking this medicine, Do not drink alcohol before or after taking this medicine, Please do not use it for a long","Skin Rash, redness, itching, Gastrointestinal nausea, vomiting, loss of appetite, Neuropsychiatric system Dizziness Respiratory system Shortness of breath, difficulty breathing Urology Difficulty urinating Others Excessive drop in body temperature","Persons who have had allergic symptoms due to this drug or its ingredients, People who have had asthma after taking this drug or other cold medicines or antipyretic analgesics"
